,id,Amazon Standard Identification Number,reviews_numHelpful,reviews_rating,reviews,reviews_summary,reviews_username,length_of_reviews,feedback
646,AVZRLPC8GLJLPUI8FBQA,B01LW1MS9C,126.0,5.0,"i'm huge fan echo family. two echo's, three dot one tap. essential life love playing music, listening news controlling philip hue smart light throughout home. large investment population make - said huge fan way hockey puck dot look like. glossy plastic look little cheap although effect performance them. dot cover great option look fantastic.some reviewer say look cheap fit loose - i'm sure people moving dots. since dot made stationary, loose fitting cover issue. me, fit perfectly. also made real fabric, important part look like fabric picture. fabric better option considering plastic much durable material hold color better dot happens get sunlight.i bought three cover - blue, grey white. look good grey favorite attract attention need to. said, like three colors.edit 07/11/2017 - cover hold well time. mine collected dust faded. i've kept half year single issue (not i'd expect besides possible fading).",Great upgrade for aesthetics,D. Miyao,914,1
647,AVZRLPC8GLJLPUI8FBQA,B01LW1MS9C,303.0,5.0,"thoroughly impressed echo dot case take next level appearing much higher end product vs. nerdy plastic computer sitting kitchen countertop. construction solid slightly lifted still allow audio access bottom echo. case/cover give echo needed extra touch allowing blend in, still offer great functionality alexa.",The Extra Touch,dm,310,1
648,AVZRLPC8GLJLPUI8FBQA,B01LW1MS9C,138.0,4.0,"love everything case except fit echo dot. expecting snug fit however, lose make sure pick move (and power cable disconnected), dot fall case.",Great case with minor design flaws,Corey Clarke,141,1
649,AVZRLPC8GLJLPUI8FBQA,B01LW1MS9C,207.0,5.0,"major fan, buy protection, bought cause blend decor. skin, skin tight. yes loose often grab move it. maybe every year.","Major fan, didn't buy this because of protection, ...",A.C,118,1
650,AVZRLPC8GLJLPUI8FBQA,B01LW1MS9C,245.0,3.0,like previous reviewer mentioned fabric hard plastic snug tight fit. good quality though.,Not all fabric or cloth.,Vincent Pompei,89,0
651,AVZRLPC8GLJLPUI8FBQA,B01LW1MS9C,43.0,5.0,"echo dot gmc sierra denali. first support. sat hole protection. shifting, jiggling knowing happen. something do. looked search found fabric case alexa. it! support happy wear. accidental popping out, shifting readjusting, finally safe.",She loves it,Bob,235,1
652,AVZRLPC8GLJLPUI8FBQA,B01LW1MS9C,14.0,5.0,change whole look echo ... purchased think gone tan leather. blue favorite color add bit pop mundane looking black disk! texture also really nice feel look it!,Great pop of color for a bland looking product!,JB 85,159,1
653,AVZRLPC8GLJLPUI8FBQA,B01LW1MS9C,5.0,5.0,great looking cover echo dot. give dot softer elegant look. feel little pricy get regret decision buy case.,Great look for Dot.,C. Morrow,107,1
654,AVZRLPC8GLJLPUI8FBQA,B01LW1MS9C,68.0,5.0,"i'm huge fan echo family. two echo's, three dot one tap. essential life love playing music, listening news controlling philip hue smart light throughout home. large investment population make - said huge fan way hockey puck dot look like. glossy plastic look little cheap although effect performance them. dot cover great option look fantastic.some reviewer say look cheap fit loose - i'm sure people moving dots. since dot made stationary, loose fitting cover issue. me, fit perfectly. also made real fabric, important part look like fabric picture. fabric better option considering plastic much durable material hold color better dot happens get sunlight.i bought three cover - blue, grey white. look good grey favorite attract attention need to. said, like three colors.",Great upgrade for aesthetics,D. Miyao,773,1
655,AVZRLPC8GLJLPUI8FBQA,B01LW1MS9C,20.0,5.0,perfect. lot people commenting case fall portable. that's intended use case. strictly decorative use. look great come several color options. would definitely purchase again.,This is perfect. A lot of people were commenting that the ...,Ryan,173,1
656,AVZRLPC2VKC47QAVD5FA,B0716JZKLT,4.0,5.0,fit perfect new fire 8 kid tablet!! thanks much another great product!,Perfect fit for Fire 8 Tablet.,C. Wegenka,70,1
665,AVZRLPC2VKC47QAVD5FA,B0716JZKLT,2.0,5.0,"thing job perfectly, light weight provides great protection. worried little one hand (or case may be)!",Great case.,Brett,102,1
666,AVZRLPC2VKC47QAVD5FA,B0716JZKLT,3.0,5.0,happy good things.,Five Stars,Kindle Customer,18,1
668,AV1T1NRWVKC47QAVGF3I,B01BRWH8G8,745.0,5.0,"background, retired information system professional writing first impression new fire hd 8 released september 21, 2016 perspective long-term kindle user. current e-readers fire device amazon including basic kindle, paperwhite (2013,2014,2015 models), fire hd6, fire hd7, fire hdx7 fire hdx8.9 (3rd 4th generation), old fire hd 8 fire hd 10. summary initial impression new fire hd8.amazon replaced original hd 8 released 2015 all-new hd 8. amazon also removing fire hd6, shame great little tablet.the new hd 8 differs old version follows:best new feature:the price reduced! 16 gb version old device cost 169.99 special offer (ads). new 16 gb version cost 89.99 get 32 hb version 30 more.secretly removed:amazon removed ability mirror display miracast device tvs. feature available generation 4 5 fire including last year hd 8. however, still cast prime video firetv fire stick.what come box:the hd8 fire, short 3-foot usb cord power adapter charge use device right box.size:the new hd8 fraction thicker 2015 hd8. leather case old hd 8 fit new hd 8 hard shell case not. however auto wake feature older case work.one complaint earlier version back slick slippery hold without case.read","Great basic tablet for Amazon fans 9,",Desert Rat,1182,1
669,AV1T1NRWVKC47QAVGF3I,B01BRWH8G8,236.0,5.0,"thrilled new fire hd8 - even get alexa! time likely ecstatic! far tablet novice - original fire 50 fire samsung galaxy tab 3 galaxy tab 10.5. phone always samsung flagship phones, currently s7 edge. say show 1) experience kindle fires, 2) generally tend high standard used device -- know good tablet so-so tablet. admittedly, previous fire so-so, wanted something inexpensive yet adequate take place instead galaxy tab 10.5.my hd8 32gb option, offers. user likely fine 16gb perhaps added 32gb 64gb sd card. however, know use devices, went 32gb option, well 64gb micro sd card. 48 hour new fire, become device choice, even 500 samsung (more convenient size). use large samsung tablet computer replacement whereas new fire replaces two 7 inch tablet go device.before receiving it, sure low resolution (1280 x 800) tab, honestly, problem! sure, bright beautiful like tab ... crisp, clean, clear. color sufficient, vibrant, sadly. (the comparison photo hd8 (2016) fire 7 (2015).sound quite good, good volume. speaker left side portrait, top (or bottom) landscape. prefer top. sound good enough enjoy movie without use earphones, unless noisy environment, case would likely want use earphone anyway.read","Amazon did it right this time, really enjoying my tablet! (4 updates) -- 4th update has some tips 4,",MaGold,1198,1
670,AV1T1NRWVKC47QAVGF3I,B01BRWH8G8,407.0,4.0,"first off,i appreciate reading review :) get little background me, major tech users. multiple tablet apple,samsung,and asus. fire tablet comparable different way. tablet us amazon based operating system, fire os. play store itunes... prime member however, tablet incredible value get instant access prime benifits. ive chance really put product thru pace past 2 days. ordered 2 tablet wife could really put use. gone thru 3 full power cycle (fully charging fully draining battery thru use) get 10-11 hour hefty use battery life plus! tablet keeper. screen look fantastic. color seem slightly dull however resoloution everyday use perfect price point. speed snappy enough basic use handle complex task game without much issue. passmark benchmark test got score 3377. however second hd 8 constantly grade 30-35 point lower. possibility even tho exact tablet,they might built slightly different performance vary. price point didnt expect come exactly same. tablet bassically spec samsung tab half price! oh hd 8 actually offer slightly better resoloution samsung! minus one star wifi connection. lost connection several time tablets. seems happen 5g connection.also screen reflective,it impossible use outdoors.also sadly fingerprint magnet.read","A great upgrade from the fire 7. A great buy at this price! 1,",RaVen,1242,1
671,AV1T1NQVKC47QAVGF3G,B01M4NRFXX,287.0,5.0,"got day came out. four year old daughter, love it! ipad her, getting expensive many game button click tell thing need buy would them. tablet restricts app purchasing. yay! tried older version tablet kept freezing perform well. far, one work well. two request amazon, hoping someone amazon read review make change. please change amazon freetime put story apps apps book sections. many wonderful story read loud apps section instead book section, restrict tablet book only, can't access them. would love much would fix this. example story can't access restrict book considers apps following: nighty night!, charlie brown's, berenstain bears, dino-store story. recommendation please hide view activity restricted. now, see apps get error message selects them. really like product, think great children. need little improvement freetime interface.",This Fire Tablet is much Better than the Last one. Please improve the Freetime Experience!,Shira Sandford,843,1
672,AV1T1NQVKC47QAVGF3G,B01M4NRFXX,249.0,5.0,"feel like lot bad review people know doing, fully understand use tablet full potential. tablet allow download app would find play store! parental feature first download parent profile first!! love tablet. also, block camera web browser child can't access either! put pas code pretty much everything like profiles, wifi access, settings, etc. really easy set came almost fully charged plenty time download wanted daughter set put charger... does, however, take bit long complete charge 100, big deal. great tablet far thoroughly enjoying :)",YES you CAN download apps like KidsYou Tube!,Amazon Customer,539,1
673,AV1T1NQVKC47QAVGF3G,B01M4NRFXX,170.0,5.0,"june 18 father's day also older daughter's birthday. turn 6 year old year thought tablet would nice birthday gift her. younger sister fire 7, logical u buy fire 8 her, older.we bought tablet educational purpose, watch cartoons. husband software engineer really want daughter learn code. many different apps that.we already tested today, tablet arrived, shown daughter yet.there three different color chose blue one, favorite color. bright, case look like removable foam shell, sturdy easy grab. actually nice decision adding yellow color brother sister share one device, better go neutral.there possibility expand storage 256 gb, think 32 gb board enough daughter.big cutout make easier access volume power buttons, well charging port headphone jack.the display ok price. watched peppa pig, image looked sharp color vibrant, even extreme angles. sound much better fire 7 kid edition, that's due dual stereo speakers.i know easy intuitive interface daughter, u great, nothing odd unnecessary. favorite option parent control. password-protect purchase (including in-app purchases), wi-fi access more.read",A nice attempt at making a truly child-friendly tablet,Tech Insider,1102,1
674,AV1T1NQVKC47QAVGF3G,B01M4NRFXX,112.0,5.0,"fire hd 8 kid tablet essentially hd 8 kid cover, freetime, 2 year warranty. lot improvement previous kid edition tablet dual band wifi, higher quality 720p screen, dolby stereo speakers, double storage, increased battery life.the kid cover allows little one get good grip also provides exceptional protection drops. ip screen excellent viewing angles, vibrant colors, offer plenty brightness indoors. however move outside screen wash sun. dual speaker give true stereo sound offer plenty volume. shame camera offer higher resolution, none le rear cam take decent picture even hand steady. fill internal storage add 256gb microsd card.freetime wealth content, includes kid-safe web browser load site whitelisted amazon. want child using browser turned off. also restrict access certain categories, set time limits, view child watching reading parent dashboard. first year nominal fee continue using service.tips:- view amazon video offline connected wifi. switch adult profile download video(s). go settings, profile family library, select child profile, add content, videos, select videos.- sideload google play gain access even apps youtube kids.- set freetime allow entertainment content daily educational goal met.",The perfect kids tablet,J. Welch,1217,1
675,AVQCFEGXV8E3D1O-LK7-,B01KVZDFD2,201.0,3.0,"bought 2 christmas present say kid friendly. every kindle i've past pretty easy use, one lot option think could elsewhere make easier child navigate. easier time using device (kindle fire, kindle app tablets) unfortunate wanted able something strictly reading. also kid bundle disappointing children's book work device. kid bundle page state 8th generation kindle. now, kindles bought new one come out, followed close enough know 8th generation without information available page. planned buying device bought bunch book listed available e-readers 5th generation. assumed since latest one listed, new device anything listed, latest. found today 8th generation lot book available device, hope change future. lot money spent book read old device (the device game access internet videos). spent extra money 2 new device something use daily without access, find age appropriate book can't read new devices. think information available parent looking device sit kid worry focusing something important them. reading important child ages, read levels.read",Kindle 8th Generation Kids Bundle,Amazon Customer,1048,0
676,AVQCFEGXV8E3D1O-LK7-,B01KVZDFD2,63.0,5.0,love fact kid free time thus limiting child read. plus parental control set time limits. give parent full control long child read.,Fully controllable limits.,Anna,130,1
677,AVQCFEGXV8E3D1O-LK7-,B01KVZDFD2,37.0,5.0,"love this!!!! although show color, (which thing love it) still cool. got 9, back 2015, loved it! show ads, really love, since anyone like pesky ad good product, totally worth money.",I LOVE this!,Bookie Monster,181,1
678,AVQCFEGXV8E3D1O-LK7-,B01KVZDFD2,41.0,5.0,"bought first kindle! best deal get kindle, especially 30 prime member. original kindle 80 come case, ads, protection plan. case magnetic, greatest quality, perfect year so. connected easily library account book already downloaded kindle app. automatically connected amazon prime account. love it! deal disappoint!",NOT JUST FOR KIDS!,Devin,313,1
679,AVQCFEGXV8E3D1O-LK7-,B01KVZDFD2,21.0,3.0,"loved concept ereader would screen time. however, found several drawback version compared prior kindles owned. first, product speaker kind, cannot play audible book even text speech unless use wireless headphones. big loss - current kindle ereader play audible book -- older generation kindle ereaders fire (which problem introducing video reading time) - sometimes, daughter want read follows along. second, operates slowly. third, freetime service poorly organized unlikely daughter able find anything want there. category type category might see bookstore - e.g. mystery, biography, early chapter books, realistic fiction, series, etc - odd collection category - e.g. ballet, frozen, disney, trucks, etc. option seem commercial type book would want read. description book (like blurb amazon website) - way title (and unhelpful category) tell book downloads start read it. finally, called customer service hoping clearer explanation move around within free time, put book amazon account freetime library, got representative took long break one question (presumably know answer look up) difficult understand strong accent.read",Loved the concept but execution falls short - and Customer Service was terrible!,DC Mom,1127,0
680,AVQCFEGXV8E3D1O-LK7-,B01KVZDFD2,59.0,5.0,"quite steal! already pointed out, total value 144.97. 99.99 price, great deal. able use recent prime 30 offer get 69.99. bought kindle keep bag. regular kindle voyage, i've owned several kindles (k3 oasis). compared two screen setup thing noticed curve letter sharper voyage, expected. frontlight no... long know expect, surprised. :) light, button also advertised features.",Quite the steal!,KimberlyinMN,374,1
681,AVZRLO37GLJLPUI8FBPY,B01LW1MS9C,126.0,5.0,"i'm huge fan echo family. two echo's, three dot one tap. essential life love playing music, listening news controlling philip hue smart light throughout home. large investment population make - said huge fan way hockey puck dot look like. glossy plastic look little cheap although effect performance them. dot cover great option look fantastic.some reviewer say look cheap fit loose - i'm sure people moving dots. since dot made stationary, loose fitting cover issue. me, fit perfectly. also made real fabric, important part look like fabric picture. fabric better option considering plastic much durable material hold color better dot happens get sunlight.i bought three cover - blue, grey white. look good grey favorite attract attention need to. said, like three colors.edit 07/11/2017 - cover hold well time. mine collected dust faded. i've kept half year single issue (not i'd expect besides possible fading).",Great upgrade for aesthetics,D. Miyao,914,1
682,AVZRLO37GLJLPUI8FBPY,B01LW1MS9C,303.0,5.0,"thoroughly impressed echo dot case take next level appearing much higher end product vs. nerdy plastic computer sitting kitchen countertop. construction solid slightly lifted still allow audio access bottom echo. case/cover give echo needed extra touch allowing blend in, still offer great functionality alexa.",The Extra Touch,dm,310,1
683,AVZRLO37GLJLPUI8FBPY,B01LW1MS9C,138.0,4.0,"love everything case except fit echo dot. expecting snug fit however, lose make sure pick move (and power cable disconnected), dot fall case.",Great case with minor design flaws,Corey Clarke,141,1
684,AVZRLO37GLJLPUI8FBPY,B01LW1MS9C,207.0,5.0,"major fan, buy protection, bought cause blend decor. skin, skin tight. yes loose often grab move it. maybe every year.","Major fan, didn't buy this because of protection, ...",A.C,118,1
685,AVZRLO37GLJLPUI8FBPY,B01LW1MS9C,245.0,3.0,like previous reviewer mentioned fabric hard plastic snug tight fit. good quality though.,Not all fabric or cloth.,Vincent Pompei,89,0
686,AVZRLO37GLJLPUI8FBPY,B01LW1MS9C,43.0,5.0,"echo dot gmc sierra denali. first support. sat hole protection. shifting, jiggling knowing happen. something do. looked search found fabric case alexa. it! support happy wear. accidental popping out, shifting readjusting, finally safe.",She loves it,Bob,235,1
687,AVZRLO37GLJLPUI8FBPY,B01LW1MS9C,14.0,5.0,change whole look echo ... purchased think gone tan leather. blue favorite color add bit pop mundane looking black disk! texture also really nice feel look it!,Great pop of color for a bland looking product!,JB 85,159,1
688,AVZRLO37GLJLPUI8FBPY,B01LW1MS9C,5.0,5.0,great looking cover echo dot. give dot softer elegant look. feel little pricy get regret decision buy case.,Great look for Dot.,C. Morrow,107,1
689,AVZRLO37GLJLPUI8FBPY,B01LW1MS9C,30.0,5.0,perfect. lot people commenting case fall portable. that's intended use case. strictly decorative use. look great come several color options. would definitely purchase again.,This is perfect. A lot of people were commenting that the ...,Ryan,173,1
690,AVZRLO37GLJLPUI8FBPY,B01LW1MS9C,66.0,5.0,"i'm huge fan echo family. two echo's, three dot one tap. essential life love playing music, listening news controlling philip hue smart light throughout home. large investment population make - said huge fan way hockey puck dot look like. glossy plastic look little cheap although effect performance them. dot cover great option look fantastic.some reviewer say look cheap fit loose - i'm sure people moving dots. since dot made stationary, loose fitting cover issue. me, fit perfectly. also made real fabric, important part look like fabric picture. fabric better option considering plastic much durable material hold color better dot happens get sunlight.i bought three cover - blue, grey white. look good grey favorite attract attention need to. said, like three colors.",Great upgrade for aesthetics,D. Miyao,773,1
691,AV1T1NRPVKC47QAVGF3H,B01M4NU4OM,147.0,5.0,"tablet phone inevitable life nothing it. know, toddler read book cart grocery shopping curiously looking around. that's case. daughter three year old, nice girl, hate grocery shopping, get bored easily thing helps, favorite cartoons.earlier gave husband's phone, easy toddler drop thing down, made decision buy tablet. price trigger u buy fire hd kid edition.we previous edition, far know, difference 7th gen fire 7 dual-band wifi antenna slightly newer gpu.at first, considered buying 50 fire 7 (regular one), many benefit kid's edition, definitely worth pay extra 50 it. benefits, important us, are: - kid-proof case. that's must have! chose pink one daughter seems like it. - 2-year worry-free guarantee. - one year freetime unlimited. love apps game free. - choose content daughter watch.the battery life great, daughter still little watch cartoon hour day, work single charge week, so.the display quality ok, expected least better previous version (my nephew it), same.during first day dropped, thrown, kicked survived.read","If you want something cheap and very durable, Fire 7 Kids Edition is a perfect choice",Tech Insider,1028,1
692,AV1T1NRPVKC47QAVGF3H,B01M4NU4OM,125.0,5.0,"always used samsung tablet took little adjusting navigate.so, far using week take time set-up. need go make sure setting correct kid, take time (i think effort worth it)this review specifically kid edition tablet:the tablet:the tablet itself, good size (almost) 3 yr old. heavy seems right size handle. protective case definitely done job already couple incidents. (update: thrown wall landed tile, crack breaks) viewing quality decent. otherwise, would expect tablet. another fire before, compare samsung galaxy, far, would expect tablet class.the feature (the real reason purchase):is worth yes. definitelypreviously, sharing tablet phone little one, would get content getting - everything buying stuff watching content appropriate age - ie downloads deadpool logan look like 'superheroes' appropriate one kid - (side note: loved portrayed deadpool logan - big comic fan finally got character right!).i even deleted youtube tablet hidden app phone file can't get them...but tablet game changer. great parental controls.read",Parents with young kids - this is worth it,Urduja,1025,1
693,AV1T1NRPVKC47QAVGF3H,B01M4NU4OM,87.0,5.0,"great toyreal tablet. basically real fire 7 tablet, kid's built-in entertainment center. 2 mode here: parent (admin) kid (one multiple accounts). parent mode (password protected), fire 7 look feel like android tablet fire 7 functionality (facebook, netflix, books, blah, blah), u android user feel right home. parent mode also manage kid accounts: much use tablet per day, cannot watch/play, manage installed apps, ect. kid's mode, tablet behaves like pictures, easy-to-use, colorful interface. need click switch user switch parent kid accounts.some confusion got reading reviews- kid apps pre-installed main interface app store, like google play, ect. apps unique kid account, free included subscription includes know many games, amazon videos, reading audio books. still download app using it, make sure stock apps going road trip.",A Little Explanation on What the Tablet Is,Alex Yandukin,833,1
694,AV1T1NRPVKC47QAVGF3H,B01M4NU4OM,5.0,4.0,"really awesome tablet 5 year olds, worth money. easy figure (for part), ton apps, book videos. complaint cannot separate downloaded apps thousand apps available download freetime. carousel home page, show recently used apps. child would scroll thousand apps find one downloaded check mark corner. want able download everything see, easy tap. solution found block every app except downloaded. would think would option separate them, given made child, guess","Good tablet, could use improvements",Amazon Customer,455,1
695,AV1T1NRPVKC47QAVGF3H,B01M4NU4OM,34.0,5.0,"excellent, daughter love this. read books, school work, watch shows, listen music. really enjoys something use. 12 perfect age appropriate gift also extremely functional. use parent setting extra security using unsupervised otherwise, set time limit. great product.",Great gift for 12yr old girl,Knicky,265,1
696,AVPF0MLQLJEJML43EQEI,"B008GGCAVM,B00DOPNMVM",403.0,4.0,"i've ipad user since original came out. also ipad 3. worked past year would say pretty good technology fancy new devices. introduction way, reviewing key point seen touched upon reviews. goes...buildthe device feel nice solid. i'm little surprised heavy is, that's necessarily bad thing. rubberized backing always nice added grip. nice say unibody aluminum, 500 either.screenthe screen fantastic. problem ipad got retina display, os, apps look rather pixelated. lot game tried high definition, least high enough look smooth screen. hopefully apps get updated higher resolutions.lock screen adsyeah ad lock screen. i'm sure big deal. much time people really spend looking lock screen first thing thought saw ad wow picture really crisp! ad subsidize 200 price tag. might pay 15 get rid customize it, might not. feel like blown proportion customers.soundthe sound speaker great. much better would get expensive devices, crisp clean. official amazon case affected sound all. nothing much else say, doubt anyone complain this.crashingi've two apps crash opening. know app os. probably somewhere middle. again, big deal me.read","You Get What You Pay For 31,",TL,1122,1
697,AVPF0MLQLJEJML43EQEI,"B008GGCAVM,B00DOPNMVM",517.0,5.0,"amazon.com official commented review(what's this) amazon team saysoctober 1, 2012thank taking time share feedback. we're glad enjoying kindle fire hd, particularly excited see encouraging comment regarding display sound quality, team worked really hard build excellent experience. wanted answer question storage. hd content much larger sd content, kindle fire hd start 16gb. average, 90 minute hd movie 2gb 45 minute hd tv episode 0.9gb. 16gb kindle fire hd, 6 hd movie 13 hd tv episodes. number vary depending item stored installed device. hope information helps.thanks, kindle team","Exceptional 7, An Amazon.com official commented on this review",NicoleReviewsItAll,583,1
698,AVPF0MLQLJEJML43EQEI,"B008GGCAVM,B00DOPNMVM",7.0,5.0,"love it! purchased audible quite time thought would easier get amazon brand downloading kindleprime, audible even endless book prime member is!! reader also, thought would ever need, wishing would purchased beginning. prime member new neat thing amazon coming with, way better easier (for me) doubt it. like feature tech help available issue (if sooo behind tech world am) -) next kindle fire purchase 64 gb though...kind thought try size (so speak)... idea would truly like much! pleased purchase!! seems well made durable, although kid case purchased go might feel lol!!",Should have bought one years ago!,wadas1989,572,1
699,AVPF0MLQLJEJML43EQEI,"B008GGCAVM,B00DOPNMVM",22.0,4.0,"purchased kindle fire hd returning lenovo idea pad. also experience ipads. said that, kindle fire hd exceptional value money. screen fantastic. glare kept minimum, color bright vibrant, text clear easily read, movie look phenomenal hd. also, sound quality volume bar-none device size. touch screen responsive shortcut like tapping, double tapping, pinch zoom work great. size, weight thickness great portability. easily slipped interior pocket jacket take little room backpack. weight size make easy hold one hand rubberized back panel great grip. amazon store provides almost unlimited supply, books, movies, tv shows, music, magazines, newspaper improved subscription amazon prime. now, negatives. power button volume rocker tough find flush device provide little tactile feedback looking them. solved problem putting thin strip colored tape side device buttons. amazon app store limited compared full android app store. hopefully app library grow device's popularity. apps full android store side loaded easy step please aware apps work kindle. lastly, carousel home screen useful spoon cutting steak. say finished reading magazine want switch another app, go back home screen, magazine read done first thing see.read","Fun, Durable, only a few minor issues",DBoogie,1220,1
700,AVPF0MLQLJEJML43EQEI,"B008GGCAVM,B00DOPNMVM",0.0,4.0,"amazon.com official commented review(what's this) amazon team saysoctober 11, 2013thank taking time share feedback. we're excited see encouraging comment regarding display sound, appreciate thoughtful analysis device compared previous generation kindle fire kindle fire hd. correctly point out, new kindle fire hd successor last year's entry level kindle fire, include feature camera, microphone, hdmi port. also correct point device support mayday, although still multiple way get help free directly device. hope enjoy new feature services. thanks, kindle team","Decent, inexpensive, entry-level tablet 6, An Amazon.com official commented on this review",NF,561,1
701,AVPF0MLQLJEJML43EQEI,"B008GGCAVM,B00DOPNMVM",180.0,5.0,"first off, would like say tablet great deal 139.99. tried finding tablet 100 would work properly, let know, impossible. secondly, want tell decided buy tablet.i first bought 9 inch dragon touch tablet 78 blunt sucked. slow web browser would always freeze, even simple google search. want take chance anymore returned 2 day using decided give kindle fire hd chance.exterior: exterior well built. loose pieces, plastic firm. previous cheap tablet plastic felt going snap held hard. course ipad mini glass screen aluminum body, also start 329. 2 ports: micro usb headphone jack plug headphones. nice thing micro usb universal finding plug cheap easy find. although, amazon include nice cheaply made cable/ wall charger along kindle. previous kindle include worth 20. button volume power nice touch. would surprised new generation tablet include style buttons.only side port sd card store memory. would nice feature really need storage, go buy computer.display: one word, amazing. maybe pushing it, screen clear. iphone 5 eye prefer kindle. love reading machine price, amazon good job one.read","A 4.5 star tablet (Updated) 3,",MarkM,1089,1
702,AVPF0MLQLJEJML43EQEI,"B008GGCAVM,B00DOPNMVM",228.0,5.0,"yes..this 6th kindle fire hd 7 sharing story discouraged! previous kindle fire performed well decided upgrade newer model 16gb. 2nd kindle fire arrived christmas gift first week used it, unit crashed. ouch! previous generation-now referred old faithful -never failed me. followed onscreen instruction kindle2 rebooted device. using device 30 minutes, crashed on-screen instruction said reboot reset entire device. reset device lost settings, using device crashed. happy customer called kindle support.if bored yet...keep reading....kindle support told reset device, era memory support side unable resolve issue end reset device. advised call happens. conversation new device working, agreed send another kindle.kindle 3, 4 5 arrived...and returned discovered refurbished units. since device brand new used one week, expected brand new device replacement. kindle 6 ended placing new order (rather exchange order) returned refurbished unit continued send me. problem resolved.it get worse...kindle 6 crashed too! within first week...again!this time reset device instead would reboot device. time turned kindle.read",This is my 6th Kindle Fire HD ....It's a Love-Hate Relationship,Christine Abraham,1112,1
703,AVPF0MLQLJEJML43EQEI,"B008GGCAVM,B00DOPNMVM",997.0,4.0,"amazon.com official commented review(what's this) amazon team saysoctober 11, 2013thank taking time share feedback. we're excited see encouraging comment regarding display sound, appreciate thoughtful analysis device compared previous generation kindle fire kindle fire hd. correctly point out, new kindle fire hd successor last year's entry level kindle fire, include feature camera, microphone, hdmi port. also correct point device support mayday, although still multiple way get help free directly device. hope enjoy new feature services. thanks, kindle team","Decent, inexpensive, entry-level tablet 5, An Amazon.com official commented on this review",NF,561,1
737,AVPFAVXDLJEJML430RHN,B00KSR13CE,505.0,5.0,"fifth e-ink kindle reader i've bought. wife early adopter kindle, buy new kindle, old one go next niece nephew line. loved original paperwhite, small size, touch screen, front-lighting, virtual keyboard. all-new paperwhite definite step up, me, worth move, others decide themselves. read lot, already one newer e-ink kindles, definitely worth upgrading paperwhite. original paperwhite, upgrade well worth considering. although i've new paperwhite hours, i'm already glad upgraded. here's summary initial impression new paperwhite.size: size original paperwhite - 6.7x4.6x0.36. weight reduced slightly 7.8 ounce 7.3 ounces. paperwhite comfortable hold one hand, usually read. really good news case original paperwhite, also fit new one (thank you, amazon). buy case, highly recommend case include magnetic autowake function. much easier turn kindle without fumbling small power switch.lighting: front-lighting noticeably improved original paperwhite, slightly visible shadow coming bottom edge led light located. (it bother me, reader annoyed that.) see shadow new paperwhite, lighting appears brighter uniform. paperwhite's front lighting, never need clip-on light, even total darkness.read","More evolutionary than revolutionary, but worth the upgrade 11,",J. Chambers,1190,1
738,AVPFAVXDLJEJML430RHN,B00KSR13CE,965.0,5.0,"loved used kindle keyboard year missed able read room low lighting dark. purchased kindle fire also use ipad 3 ease reading eye prefer kindle keyboard. wanted get kindle paperwhite e-reader held new generation released spent money. got wanted reduce eyestrain reading evening love new tablet. offer perfect balance lit screen reduced eyestrain high clarity contrast text.i added video kindle paperwhite compared kindle keyboard kindle fire. question please feel free contact try answer them.i love text screen crisp clear. use kindle declining vision caused stop reading books. reading number one hobby entire life loved it. kindle brought back reading experience crisper text lit screen enjoy reading every type environment. laid kindle keyboard new kindle paperwhite side side comparison quality text clarity amazingly favor new paperwhite. new lighting system screen clarity paperwhite design really outstanding. better contrast, lighting custom designed fonts, text pop screen like seen e-reader before. 221 ppi (pixels per inch) screen provides 768 1024 pixel screen make old kindle keyboard look old fashioned. technology certainly move quickly on.read","A new step forward for me in reading on my Kindle! 9,",JJCEO,1158,1
739,AVPFAVXDLJEJML430RHN,B00KSR13CE,443.0,3.0,"review second generation kindle paperwhite. like kindle e-readers it, great product. however, bit disappointed huge improvement last year's model. review, focused feature enhancement exclusive new paperwhite tried make comparison last year's model. also, found somethings misrepresented confusing advertising, try clear up.hardwaredesign - kindle white nice look shape. fit well easy hold one hand. fairly light, tire hand much. grip long period switching hands. design similar previous paperwhite - almost identical. height width same, button location, although version slightly lighter, noticeable.display - although huge improvement last year's model, display one best feature paperwhite. like e-readers, paperwhite us digital ink technology. model employ advanced version. addition, lighting upgraded, among things, evenly lit. together, make incredible viewing. opinion, one best digital ink e-reader display market. really enjoy reading it, text look sharp crisp, little eye strain.processor - paperwhite upgraded processor, mean smoother page turn navigation. able open books, flip pages, navigate menu fairly quickly. barely lag flip many page time. also, flashing effect turning page show le all.read","Good as a first Paperwhite, not worthy of an upgrade 12,",D. Carlson,1209,0
